"GISJOIN","POP20","BASENAME","State","smart","INTPTLAT","INTPTLON","green_commute","bachelor","poverty","income","no_insurance","internet","unemp","gini"
"G01000124",2358,"Abbeville","AL",0,31.564724,-85.2591227,17.8002894356006,21.2398921832884,23.8241308793456,24579,5.2803738317757,84.1513292433538,6.30749014454665,0.4738
"G01000460",4366,"Adamsville","AL",0,33.6023153,-86.9715269,9.68468468468468,23.1124299373558,22.3208623969562,25035,8.01668211306766,73.1769181991122,6.85829551185073,0.4411
"G01000484",659,"Addison","AL",0,34.2026811,-87.1780043,20.2380952380952,7.33333333333333,17.3285198555957,26614,11.2781954887218,84.4765342960289,0.815217391304348,0.4333
"G01000676",225,"Akron","AL",0,32.8790657,-87.7408993,10.7142857142857,8.02139037433155,13.953488372093,20604,18.9542483660131,72.093023255814,2.06896551724138,0.4015
"G01000820",33284,"Alabaster","AL",0,33.2443986,-86.8473723,9.53303493887367,40.4366461291187,5.43587174348697,39142,8.17806639558172,93.8543754175017,2.99364477645222,0.3791
"G01000988",22386,"Albertville","AL",0,34.2631303,-86.21066,11.4825414997138,21.5681983953319,16.8558606124604,25852,12.2041889563877,89.9419218585005,5.99135268684373,0.4504
"G01001132",14843,"Alexander City","AL",0,32.9272402,-85.937122,12.3015873015873,18.3625037080985,21.6293074606892,26388,10.5339704965718,80.2944128471061,8.16396830864623,0.4891
"G01001228",2177,"Aliceville","AL",0,33.1237058,-88.1593444,7.15350223546945,12.8924515698063,41.0514541387025,18406,8.94623655913978,76.7337807606264,15.7112526539278,0.4886
"G01001396",548,"Allgood","AL",0,33.9076226,-86.5161092,15.1162790697674,7.34265734265734,23.696682464455,22770,22.0356768100735,62.085308056872,27.9591836734694,0.4192
"G01001660",948,"Altoona","AL",0,34.0400139,-86.3051786,0.327332242225859,8.86558627264061,31.8777292576419,23200,26.2757044935263,87.117903930131,3.36749633967789,0.4854
"G01001708",8805,"Andalusia","AL",0,31.3094363,-86.4780311,10.8444187391556,23.4295136026381,22.7316758153051,26626,11.2330383480826,79.9160477881821,6.62634762029976,0.5185
"G01001756",254,"Anderson","AL",0,34.9156749,-87.2742737,5.74712643678161,33.1707317073171,12.6126126126126,40122,6.63900414937759,87.3873873873874,7.07070707070707,0.3406
"G01001852",21564,"Anniston","AL",0,33.6734685,-85.8108912,17.2512437810945,22.5222863135815,23.150005278159,30564,13.1115838329143,76.1849466905943,5.44780998038788,0.5166
"G01002116",8461,"Arab","AL",0,34.3323868,-86.5011665,10.9226789307272,23.8345601121626,14.2985611510791,32269,9.31912374185909,89.3884892086331,3.02641703000769,0.463
"G01002260",1321,"Ardmore","AL",0,34.9878376,-86.8290225,9.54063604240283,12.6398210290828,13.768115942029,25776,11.579754601227,78.4420289855072,1.71232876712329,0.3927
"G01002320",4368,"Argo","AL",0,33.6910177,-86.5052809,8.80174291938998,24.4772891131939,3.05790500975927,35152,6.68025362318841,99.6096291476903,0.36734693877551,0.3384
"G01002428",662,"Ariton","AL",0,31.5977718,-85.7130614,7.50853242320819,18.2364729458918,34.2741935483871,21558,11.3636363636364,81.4516129032258,10.9422492401216,0.4943
"G01002500",330,"Arley","AL",0,34.0762335,-87.2178311,7.981220657277,7.6219512195122,35.0877192982456,15607,3.86643233743409,85.9649122807018,0,0.4456
"G01002836",2246,"Ashford","AL",0,31.1852844,-85.2362356,10.2844638949672,17.0305676855895,18.2770663562282,27273,11.6720516962843,82.8870779976717,3.77358490566038,0.4732
"G01002860",1984,"Ashland","AL",0,33.2698922,-85.8337064,3.6101083032491,15.9583694709454,35.4019746121298,23183,9.52072538860104,62.7644569816643,8.88157894736842,0.5632
"G01002908",2346,"Ashville","AL",0,33.8351967,-86.2700148,8.83765609990394,9.11747516072472,19.5624195624196,25152,17.2148654421188,76.8339768339768,0.717488789237668,0.3979
"G01002956",25406,"Athens","AL",0,34.7790209,-86.9507986,10.5520926090828,29.9871918027538,12.1348529834307,35783,10.4245744472706,85.5282061105258,4.25927422613756,0.475
"G01003004",8391,"Atmore","AL",0,31.1240665,-87.4577975,8.97196261682243,7.33704046957059,35.9633027522936,15060,17.4741858617951,64.1100917431193,8.27645051194539,0.5008
"G01003028",5827,"Attalla","AL",0,33.9861893,-86.1210365,2.47390800154619,9.379663184822,12.6557632398754,32435,11.931617906239,80.5685358255452,2.54730713245997,0.4713
