GISJOIN,POP20,BASENAME,State,NAME,STATE,url
G36051000,8804190,New York,NY,New York city,New York,https://www.nyc.gov/
G06044000,3898747,Los Angeles,CA,Los Angeles city,California,https://www.lacity.org/
G17014000,2746388,Chicago,IL,Chicago city,Illinois,https://www.chicago.gov/
G48035000,2304580,Houston,TX,Houston city,Texas,http://www.houstontx.gov/
G04055000,1608139,Phoenix,AZ,Phoenix city,Arizona,https://www.phoenix.gov/
G42060000,1603797,Philadelphia,PA,Philadelphia city,Pennsylvania,https://www.phila.gov/
G48065000,1434625,San Antonio,TX,San Antonio city,Texas,https://www.sanantonio.gov/
G06066000,1386932,San Diego,CA,San Diego city,California,https://www.sandiego.gov/
G48019000,1304379,Dallas,TX,Dallas city,Texas,https://dallascityhall.com/
G06068000,1013240,San Jose,CA,San Jose city,California,https://www.sanjoseca.gov/
G48005000,961855,Austin,TX,Austin city,Texas,http://www.austintexas.gov/
G12035000,949611,Jacksonville,FL,Jacksonville city,Florida,https://www.coj.net/
G48027000,918915,Fort Worth,TX,Fort Worth city,Texas,https://www.fortworthtexas.gov/
G39018000,905748,Columbus,OH,Columbus city,Ohio,https://www.columbus.gov/
G18036003,887642,Indianapolis city (balance),IN,Indianapolis city (balance),Indiana,https://www.indy.gov/
G37012000,874579,Charlotte,NC,Charlotte city,North Carolina,https://charlottenc.gov/
G06067000,873965,San Francisco,CA,San Francisco city,California,https://sf.gov/
G53063000,737015,Seattle,WA,Seattle city,Washington,https://www.seattle.gov/
G08020000,715522,Denver,CO,Denver city,Colorado,https://denvergov.org/
G11050000,689545,Washington,,Washington city,District of Columbia,https://dc.gov/
G47052006,689447,Nashville-Davidson metropolitan government (balance),TN,Nashville-Davidson metropolitan government (balance),Tennessee,https://www.nashville.gov/
G40055000,681054,Oklahoma City,OK,Oklahoma City city,Oklahoma,https://www.okc.gov/
G48024000,678815,El Paso,TX,El Paso city,Texas,https://www.elpasotexas.gov/
G25007000,675647,Boston,MA,Boston city,Massachusetts,https://www.boston.gov/
G41059000,652503,Portland,OR,Portland city,Oregon,https://www.portland.gov/
G32040000,641903,Las Vegas,NV,Las Vegas city,Nevada,https://www.lasvegasnevada.gov/
G26022000,639111,Detroit,MI,Detroit city,Michigan,https://detroitmi.gov/
G47048000,633104,Memphis,TN,Memphis city,Tennessee,https://www.memphistn.gov/
G24004000,585708,Baltimore,MD,Baltimore city,Maryland,https://www.baltimorecity.gov/
G55053000,577222,Milwaukee,WI,Milwaukee city,Wisconsin,https://city.milwaukee.gov/
G35002000,564559,Albuquerque,NM,Albuquerque city,New Mexico,https://www.cabq.gov/
G04077000,542629,Tucson,AZ,Tucson city,Arizona,https://www.tucsonaz.gov/
G06027000,542107,Fresno,CA,Fresno city,California,https://www.fresno.gov/
G06064000,524943,Sacramento,CA,Sacramento city,California,https://www.cityofsacramento.org/
G29038000,508090,Kansas City,MO,Kansas City city,Missouri,https://www.kcmo.gov/
G04046000,504258,Mesa,AZ,Mesa city,Arizona,https://www.mesaaz.gov/
G13004000,498715,Atlanta,GA,Atlanta city,Georgia,https://www.atlantaga.gov/
G31037000,486051,Omaha,NE,Omaha city,Nebraska,https://www.cityofomaha.org/
G08016000,478961,Colorado Springs,CO,Colorado Springs city,Colorado,https://coloradosprings.gov/
G37055000,467665,Raleigh,NC,Raleigh city,North Carolina,https://raleighnc.gov/
G06043000,466742,Long Beach,CA,Long Beach city,California,http://www.longbeach.gov/
G51082000,459470,Virginia Beach,VA,Virginia Beach city,Virginia,https://www.vbgov.com/
G12045000,442241,Miami,FL,Miami city,Florida,https://www.miamigov.com/
G06053000,440646,Oakland,CA,Oakland city,California,https://www.oaklandca.gov/
G27043000,429954,Minneapolis,MN,Minneapolis city,Minnesota,https://www.minneapolismn.gov/
G40075000,413066,Tulsa,OK,Tulsa city,Oklahoma,https://www.cityoftulsa.org/
G06003526,403455,Bakersfield,CA,Bakersfield city,California,https://bakersfieldcity.us/
G20079000,397532,Wichita,KS,Wichita city,Kansas,https://www.wichita.gov/
G48004000,394266,Arlington,TX,Arlington city,Texas,https://www.arlingtontx.gov/
G21048006,597337,Louisville/Jefferson County metro government (balance),KY,Louisville/Jefferson County metro government (balance),Kentucky,https://louisvilleky.gov/
G08004000,386261,Aurora,CO,Aurora city,Colorado,https://www.auroragov.org/
G12071000,384959,Tampa,FL,Tampa city,Florida,https://tampagov.net/
G22055000,383997,New Orleans,LA,New Orleans city,Louisiana,https://nola.gov/
G39016000,372624,Cleveland,OH,Cleveland city,Ohio,http://city.cleveland.oh.us/
G06002000,346824,Anaheim,CA,Anaheim city,California,https://www.anaheim.net/
G21046027,322570,Lexington-Fayette,KY,Lexington-Fayette urban county,Kentucky,https://www.lexingtonky.gov/
G06075000,320804,Stockton,CA,Stockton city,California,http://www.stocktonca.gov/
G48017000,317863,Corpus Christi,TX,Corpus Christi city,Texas,https://www.cctexas.com/
G32031900,317610,Henderson,NV,Henderson city,Nevada,https://cityofhenderson.com/
G06062000,314998,Riverside,CA,Riverside city,California,https://riversideca.gov/
G34051000,311549,Newark,NJ,Newark city,New Jersey,https://www.newarknj.gov/
G27058000,311527,St. Paul,MN,St. Paul city,Minnesota,https://www.stpaul.gov/
G06069000,310227,Santa Ana,CA,Santa Ana city,California,https://www.santa-ana.org/
G39015000,309317,Cincinnati,OH,Cincinnati city,Ohio,https://www.cincinnati-oh.gov/
G06036770,307670,Irvine,CA,Irvine city,California,https://www.cityofirvine.org/
G12053000,307573,Orlando,FL,Orlando city,Florida,https://www.orlando.gov/
G42061000,302971,Pittsburgh,PA,Pittsburgh city,Pennsylvania,https://pittsburghpa.gov/
G29065000,301578,St. Louis,MO,St. Louis city,Missouri,https://www.stlouis-mo.gov/
G37028000,299035,Greensboro,NC,Greensboro city,North Carolina,https://www.greensboro-nc.gov/
G34036000,292449,Jersey City,NJ,Jersey City city,New Jersey,https://jerseycitynj.gov/
G02003000,291247,Anchorage,AK,Anchorage municipality,Alaska,https://www.muni.org/
G31028000,291082,Lincoln,NE,Lincoln city,Nebraska,https://www.lincoln.ne.gov/
G48058016,285494,Plano,TX,Plano city,Texas,https://www.plano.gov/
G37019000,283506,Durham,NC,Durham city,North Carolina,https://durhamnc.gov/
G36011000,278349,Buffalo,NY,Buffalo city,New York,http://www.buffalony.gov/
G04012000,275987,Chandler,AZ,Chandler city,Arizona,https://www.chandleraz.gov/
G06013392,275487,Chula Vista,CA,Chula Vista city,California,https://www.chulavistaca.gov/
G39077000,270871,Toledo,OH,Toledo city,Ohio,https://toledo.oh.gov/
G55048000,269840,Madison,WI,Madison city,Wisconsin,https://www.cityofmadison.com/
G04027400,267918,Gilbert,AZ,Gilbert town,Arizona,https://www.gilbertaz.gov/
G32060600,264165,Reno,NV,Reno city,Nevada,https://www.reno.gov/
G18025000,263886,Fort Wayne,IN,Fort Wayne city,Indiana,https://www.cityoffortwayne.org/
G32051800,262527,North Las Vegas,NV,North Las Vegas city,Nevada,http://www.cityofnorthlasvegas.com/
G12063000,258308,St. Petersburg,FL,St. Petersburg city,Florida,https://www.stpete.org/
G48045000,257141,Lubbock,TX,Lubbock city,Texas,https://ci.lubbock.tx.us/
G48037000,256684,Irving,TX,Irving city,Texas,https://www.cityofirving.org/
G48041464,255205,Laredo,TX,Laredo city,Texas,http://www.cityoflaredo.com/
G37075000,249545,Winston-Salem,NC,Winston-Salem city,North Carolina,https://www.cityofws.org/
G51016000,249422,Chesapeake,VA,Chesapeake city,Virginia,https://www.cityofchesapeake.net/
G04027820,248325,Glendale,AZ,Glendale city,Arizona,https://www.glendaleaz.com/
G48029000,246018,Garland,TX,Garland city,Texas,https://www.garlandtx.gov/
G04065000,241361,Scottsdale,AZ,Scottsdale city,Arizona,https://www.scottsdaleaz.gov/
