GISJOIN,link
G01007000,"['https://www.birminghamal.gov/smartcities', 'https://www.birminghamal.gov/wp-content/uploads/2018/03/The-Woodfin-Way.pdf']"
G01037000,['https://www.huntsvilleal.gov/huntsville-approves-agreement-to-bring-5g-technology/']
G01051000,"['https://www.montgomeryal.gov/Home/Components/News/News/4116/', 'https://www.montgomeryal.gov/home/showpublisheddocument/11076/637019093765130000', 'https://www.montgomeryal.gov/play/explore-montgomery', 'https://www.montgomeryal.gov/home/-arch-1', 'https://www.montgomeryal.gov/Home/Components/News/News/4130/3180?arch=1', 'https://www.montgomeryal.gov/Home/Components/News/News/2916/3180', 'https://www.montgomeryal.gov/city-government/departments/police/community/community-policing', 'https://www.montgomeryal.gov/home/showpublisheddocument/13167/637287741646770000', 'https://www.montgomeryal.gov/home/showpublisheddocument/10405/636692570015500000', 'https://www.montgomeryal.gov/Home/Components/News/News/1892/3180?arch=1&npage=2']"
G01057048,"['https://www.opelika-al.gov/308/Quality-of-Life', 'https://www.opelika-al.gov/Archive.aspx?AMID=53&Type=Recent']"
G01076944,['https://trussville.org/wp-content/uploads/2022/04/Trussville-2040-Digital-File.pdf']
G02024230,['https://www.fairbanksalaska.us/sites/default/files/fileattachments/finance/page/1091/2021_city_capital_budget.pdf']
G02036400,['https://juneau.org/parks-recreation/zach-gordon/smart-start']
G04004720,['https://www.avondaleaz.gov/home/showpublisheddocument/13874/637178017594770000']
G04012000,"['https://www.chandleraz.gov/blog/becoming-smart-city', 'https://www.chandleraz.gov/government/city-managers-office/2021-annual-report/innovation-and-technology', 'https://www.chandleraz.gov/blog/ecab-turns-tide-transportation', 'https://www.chandleraz.gov/sites/default/files/20191104_1A.pdf']"
G04027400,"['https://www.gilbertaz.gov/home/showpublisheddocument/43038/637800896425800000', 'https://www.gilbertaz.gov/departments/information-technology/highlights', 'https://www.gilbertaz.gov/Home/Components/RFP/RFP/1745/1140', 'https://www.gilbertaz.gov/departments/information-technology/it-roadmap', 'https://www.gilbertaz.gov/home/showpublisheddocument/43034/637800896416730000']"
G04028380,"['https://www.goodyearaz.gov/home/showpublisheddocument/27757', 'https://www.goodyearaz.gov/Home/ShowDocument?id=26873']"
G04039370,['https://www.lhcaz.gov/budget-and-finance/information-technology/strategic-plan']
G04044410,"['https://www.maricopa-az.gov/home/showdocument?id=4', 'https://www.maricopa-az.gov/departments/planning-maricopa-general-plan/general-plan-elements/circulation-connectivity-element', 'https://www.maricopa-az.gov/departments/planning-maricopa-general-plan/general-plan-elements/public-buildings-facilities-services-element', 'https://www.maricopa-az.gov/departments/planning-maricopa-general-plan/introduction/planning-assumptions-principles', 'https://www.maricopa-az.gov/departments/planning-maricopa-general-plan/introduction/executive-summary', 'https://www.maricopa-az.gov/home/showpublisheddocument/1901/637012125509100000']"
