"GISJOIN","SDG4_3","SDG9_c","SDG10_4","SDG11_2","SDG1_1","SDG3_8","SDG8_5"
"G01007000",0,0,0,1,0,0,0
"G01037000",0,1,0,0,0,0,0
"G01051000",0,0,0,0,0,0,0
"G01057048",0,0,0,0,0,0,1
"G01076944",0,0,0,0,0,0,0
"G02036400",0,0,0,0,0,1,0
"G04004720",0,0,0,0,0,0,0
"G04012000",0,0,0,0,0,1,0
"G04027400",0,0,0,0,0,1,1
"G04028380",0,0,0,0,1,0,0
"G04039370",0,0,0,0,0,0,0
"G04044410",1,1,0,1,0,1,0
"G04046000",0,1,0,1,1,1,1
"G04054050",0,0,0,0,0,0,0
"G04055000",0,0,0,0,0,0,0
"G04058150",0,0,0,0,0,0,0
"G04065000",0,1,0,0,1,1,1
"G04077000",0,1,0,0,0,1,1
"G04085400",0,0,0,0,0,1,0
"G04085540",0,0,0,0,0,0,0
"G05009460",0,0,0,0,0,0,0
"G05010300",0,0,0,0,0,0,0
"G05023290",0,0,0,0,0,0,0
"G05041720",0,0,0,0,0,0,0
"G05060410",0,0,0,0,0,0,0
"G06000562",0,1,0,1,0,1,0
"G06002000",0,1,0,0,0,0,0
"G06002252",0,0,0,0,0,0,0
"G06003526",0,0,0,0,0,0,0
"G06006308",0,0,0,0,0,0,0
"G06008786",0,0,0,0,0,0,0
"G06008954",0,0,0,0,0,0,0
"G06009598",0,0,0,0,0,0,0
"G06011194",0,0,0,0,0,0,0
"G06013392",0,1,0,0,0,1,1
"G06016000",0,0,0,0,0,0,0
"G06016462",0,0,0,0,0,0,0
"G06016532",0,0,0,0,0,1,0
"G06019192",0,0,0,0,0,0,0
"G06019766",0,1,0,0,0,1,1
"G06021230",0,0,0,0,0,0,0
"G06021712",0,0,0,0,1,1,1
"G06022020",0,0,0,0,0,0,0
"G06022804",0,0,0,0,0,1,1
"G06023182",0,0,0,0,0,0,0
"G06025380",0,0,0,0,0,0,0
"G06027000",0,1,0,0,0,0,1
"G06028000",0,0,0,1,0,1,1
"G06030000",0,0,0,1,0,1,1
"G06036000",0,1,0,0,1,0,1
"G06036056",0,0,0,0,0,0,0
"G06036280",0,1,0,0,0,1,0
"G06036546",0,0,0,0,0,0,0
"G06040130",0,0,0,0,0,1,1
"G06043000",0,1,0,0,0,1,0
"G06043294",0,0,0,0,0,0,0
"G06045246",0,0,0,0,0,0,0
"G06045400",0,0,0,0,0,0,0
"G06045484",0,1,0,0,0,0,0
"G06046842",0,0,0,0,0,0,0
"G06046870",0,0,0,0,0,0,0
"G06046898",0,0,0,0,0,0,0
"G06047766",0,1,1,0,1,1,1
"G06048354",0,0,0,0,0,0,0
