GISJOIN,POP20,BASENAME,State,smart,INTPTLAT,INTPTLON
G36051000,8804190,New York,NY,1.0,40.6627117,-73.9386769
G06044000,3898747,Los Angeles,CA,0.0,34.0193936,-118.4108248
G17014000,2746388,Chicago,IL,1.0,41.8370453,-87.6849386
G48035000,2304580,Houston,TX,1.0,29.7857435,-95.3888059
G04055000,1608139,Phoenix,AZ,1.0,33.5721544,-112.0901324
G42060000,1603797,Philadelphia,PA,1.0,40.0093755,-75.1333459
G48065000,1434625,San Antonio,TX,1.0,29.4634081,-98.5242867
G06066000,1386932,San Diego,CA,1.0,32.814977,-117.1355615
G48019000,1304379,Dallas,TX,1.0,32.7933334,-96.7665128
G06068000,1013240,San Jose,CA,1.0,37.2960112,-121.8145519
G48005000,961855,Austin,TX,1.0,30.3011573,-97.7526951
G12035000,949611,Jacksonville,FL,0.0,30.3368643,-81.6616028
G48027000,918915,Fort Worth,TX,1.0,32.7815183,-97.346746
G39018000,905748,Columbus,OH,1.0,39.9855308,-82.985594
G18036003,887642,Indianapolis city (balance),IN,0.0,39.7766644,-86.1459355
G37012000,874579,Charlotte,NC,1.0,35.2090447,-80.8309902
G06067000,873965,San Francisco,CA,0.0,37.7272391,-123.0322294
G53063000,737015,Seattle,WA,1.0,47.6193387,-122.3515649
G08020000,715522,Denver,CO,1.0,39.7618502,-104.8811054
G11050000,689545,Washington,,1.0,38.9042474,-77.0165167
G47052006,689447,Nashville-Davidson metropolitan government (balance),TN,1.0,36.1718001,-86.7850016
G40055000,681054,Oklahoma City,OK,0.0,35.4670795,-97.5136565
G48024000,678815,El Paso,TX,0.0,31.8477804,-106.4311055
G25007000,675647,Boston,MA,1.0,42.3385513,-71.018253
G41059000,652503,Portland,OR,1.0,45.5369506,-122.649971
G32040000,641903,Las Vegas,NV,1.0,36.2334989,-115.2640367
G26022000,639111,Detroit,MI,0.0,42.3830375,-83.1022365
G47048000,633104,Memphis,TN,1.0,35.1090176,-89.9665654
G24004000,585708,Baltimore,MD,0.0,39.3000324,-76.6104761
G55053000,577222,Milwaukee,WI,0.0,43.0633484,-87.9666952
G35002000,564559,Albuquerque,NM,1.0,35.1047797,-106.6468093
G04077000,542629,Tucson,AZ,1.0,32.1530357,-110.8707734
G06027000,542107,Fresno,CA,1.0,36.7826843,-119.7933595
G06064000,524943,Sacramento,CA,1.0,38.5676936,-121.4681605
G29038000,508090,Kansas City,MO,1.0,39.1223613,-94.5551167
G04046000,504258,Mesa,AZ,1.0,33.4006255,-111.7164869
G13004000,498715,Atlanta,GA,1.0,33.7629088,-84.4226745
G31037000,486051,Omaha,NE,0.0,41.2627048,-96.0534745
G08016000,478961,Colorado Springs,CO,1.0,38.8672553,-104.760749
