GISJOIN,total,link_title,link,link_des,smart,manual_check,notes
G01007000,2,"['Transforming Birmingham into a Smart City « The Official Website for ...', 'the WOODFIN WAY | Birminghamal.gov']","['https://www.birminghamal.gov/smartcities', 'https://www.birminghamal.gov/wp-content/uploads/2018/03/The-Woodfin-Way.pdf']","['Road to Becoming a Smart City. In March 2018, the City of Birmingham was awarded a 2018 Smart Cities Readiness Challenge Grant intended to help cities use\xa0...', 'Mar 15, 2018 ... Birmingham named a “Smart City” by the International Smart. Cities Council. • Birmingham named a “Rise of the Rest City” by the Revolution.']",1,1,awarded for smart city
G01032272,1,['For Immediate Release: Contact: Hurricane Preparedness Expo set ...'],['https://www.gulfshoresal.gov/DocumentCenter/View/11387/5242022-Hurricane-Preparedness-Expo-set-for-June-23-in-Gulf-Shores'],"['Enclosures, Riviera Utilities, Paris Ace Hardware, Disaster Smart, Gulf Shores Utilities,. Alabama Small Business Development Center, American Red Cross,\xa0...']",1,0,Disasters
G01037000,1,['Huntsville Approves Agreement to bring in 5G Technology - City of ...'],['https://www.huntsvilleal.gov/huntsville-approves-agreement-to-bring-5g-technology/'],"['Oct 12, 2018 ... ... immersive media-rich services and creates opportunities for emerging Smart City applications,” said Gary Bolton of ADTRAN.']",1,1,Interest in taking aditional steps
G01045784,1,['John Seifert'],['http://www.madisonal.gov/1042/District-7---John-Seifert'],['... Foster smart city growth through strategic economic development projects; Ensure our budgets are fiscally sound and working for the people of Madison.'],1,0,Discussing growth
G01051000,10,"['Montgomery wins international award for technology and innovation ...', 'SFinance Ad19082013090', 'Explore Montgomery | City of Montgomery, AL', 'Home - City of Montgomery, AL', 'Free Back-to-School Vaccination Clinic Offering Free Tickets to the ...', ""The City's 10pm to 5am curfew still in effect | Covid-19 Information ..."", 'Community Policing | City of Montgomery, AL', 'TRANSITION REPORT', 'SFinance Ad18080709360', 'City of Montgomery invokes nightly curfew effective Friday, March 27 ...']","['https://www.montgomeryal.gov/Home/Components/News/News/4116/', 'https://www.montgomeryal.gov/home/showpublisheddocument/11076/637019093765130000', 'https://www.montgomeryal.gov/play/explore-montgomery', 'https://www.montgomeryal.gov/home/-arch-1', 'https://www.montgomeryal.gov/Home/Components/News/News/4130/3180?arch=1', 'https://www.montgomeryal.gov/Home/Components/News/News/2916/3180', 'https://www.montgomeryal.gov/city-government/departments/police/community/community-policing', 'https://www.montgomeryal.gov/home/showpublisheddocument/13167/637287741646770000', 'https://www.montgomeryal.gov/home/showpublisheddocument/10405/636692570015500000', 'https://www.montgomeryal.gov/Home/Components/News/News/1892/3180?arch=1&npage=2']","['Jun 4, 2021 ... For more information on these and other City of Montgomery smart city initiatives, visit www.montgomeryal.gov. ###. Return to full list >>.', 'Aug 20, 2019 ... national attention is our Smart City, Cyber City, Gig City strategy and technology initiatives. Our partnership with the military, business.', 'Dynamic Tech Hub. Montgomery Internet Exchange, Smart City Living Lab, Future Home of F-35, 2018 Smart Cities Connect Award Winner. 2018 Digital Cities Survey\xa0...', 'Items 1 - 20 of 47 ... Montgomery wins national Smart City award. The Center for Digital Government (CDG) today announced Montgomery, Alabama,\xa0...', 'Grant applications are now open for Give Smart Montgomery! In partnership with @CACFinfo and @MCCAlabama, Give Smar… https://t.co/c7EXtgkSWo.', 'May 1, 2020 ... Grant applications are now open for Give Smart Montgomery! In partnership with @CACFinfo and @MCCAlabama, Give Smar… https://t.co/c7EXtgkSWo.', 'Open the SMART CITY OPEN DATA PORTAL; Click on the MPD MAP; Click on the filters to the left (What, When, & Where); Click APPLY.', ""Dec 17, 2019 ... If Montgomery is to become a true smart city, it is imperative that there is seamless and intentional coordination of the city's information\xa0..."", ""Aug 7, 2018 ... technology initiatives are also moving us swiftly to becoming a smart city. In FY '19, Montgomery will continue to see challenges that face\xa0..."", 'Grant applications are now open for Give Smart Montgomery! In partnership with @CACFinfo and @MCCAlabama, Give Smar… https://t.co/c7EXtgkSWo.']",1,1,"Numerous examples of smartcity applications, including ongoing discussions."
G01057048,2,"['Quality of Life | Opelika, AL', 'SPRING 2020']","['https://www.opelika-al.gov/308/Quality-of-Life', 'https://www.opelika-al.gov/Archive.aspx?AMID=53&Type=Recent']","['To learn more about the only ""Smart City"" in Alabama, please visit Opelika Power Services\'s website. The Auburn-Opelika MSA is one of the fastest growing\xa0...', 'towards Opelika becoming a Smart City is far from complete. The IT Department is looking into a number of improvements for the coming year.']",1,1,Self declared smartcity
G01076944,1,['Trussville 2040 Plan Learn More'],['https://trussville.org/wp-content/uploads/2022/04/Trussville-2040-Digital-File.pdf'],"['Trussville shall be a smart city with a knowledge-based and self-sustaining economy, with environmentally-compatible and high-tech production of goods and\xa0...']",1,1,Active Investments in smartcity tech
G02024230,1,['ANNUAL BUDGET CITY OF FAIRBANKS FOR THE YEAR 2021'],['https://www.fairbanksalaska.us/sites/default/files/fileattachments/finance/page/1091/2021_city_capital_budget.pdf'],"['Jan 1, 2021 ... can be accomplished which will address Smart City Technology. In 2021, this account increased to add a part-time IT person to support Police\xa0...']",1,1,Interested in taking next steps
G02036400,1,['ZGYC – Start Smart – City and Borough of Juneau'],['https://juneau.org/parks-recreation/zach-gordon/smart-start'],['ZGYC – Start Smart – City and Borough of Juneau\xa0...'],1,1,Self declared smartcity
G04004720,1,['Untitled'],['https://www.avondaleaz.gov/home/showpublisheddocument/13874/637178017594770000'],['Began planning for future smart city initiatives and implementation across all departments. ▻ Implemented a robust citywide cyber-threat awareness.'],1,1,Active investments in smartcity tech
