GISJOIN,target
G48058016,[]
G48058016,[]
G48058016,[]
G48058016,[]
G48058016,[]
G48058016,"['SDG14_1', 'SDG14_a', 'SDG6_1', 'SDG1_5', 'SDG5_2', 'SDG15_3', 'SDG3_c', 'SDG8_b', 'SDG14_2', 'SDG15_7', 'SDG4_a', 'SDG6_4', 'SDG15_b', 'SDG4_2', 'SDG8_5', 'SDG11_7', 'SDG6_3', 'SDG15_a', 'SDG16_5', 'SDG3_8', 'SDG12_7', 'SDG7_general', 'SDG3_7', 'SDG16_10', 'SDG4_1', 'SDG1_1', 'SDG2_4', 'SDG11_4', 'SDG11_6', 'SDG12_2', 'SDG2_1', 'SDG8_3', 'SDG13_1', 'SDG1_2', 'SDG2_b', 'SDG14_c', 'SDG15_general', 'SDG16_1', 'SDG3_3', 'SDG3_6', 'SDG4_c', 'SDG6_b', 'SDG1_3', 'SDG1_b', 'SDG13_2', 'SDG4_general', 'SDG3_general', 'SDG13_general', 'SDG15_5', 'SDG16_2', 'SDG17_17', 'SDG16_a', 'SDG4_5', 'SDG5_c', 'SDG7_2', 'SDG1_a', 'SDG12_5', 'SDG13_3', 'SDG16_general', 'SDG15_1', 'SDG11_a']"
G48058016,[]
G48058016,[]
G06080812,"['SDG13_general', 'SDG9_4', 'SDG9_1', 'SDG7_general']"
G06019766,[]
G06019766,"['SDG7_b', 'SDG5_a', 'SDG5_1', 'SDG4_2', 'SDG10_b', 'SDG11_7', 'SDG8_5', 'SDG3_8', 'SDG7_general', 'SDG4_1', 'SDG7_1', 'SDG4_b', 'SDG11_6', 'SDG6_a', 'SDG6_b', 'SDG13_2', 'SDG3_general', 'SDG4_5', 'SDG5_5', 'SDG7_2', 'SDG1_a', 'SDG3_6']"
G06019766,"['SDG15_3', 'SDG3_c', 'SDG6_4', 'SDG9_3', 'SDG9_1', 'SDG4_2', 'SDG11_7', 'SDG6_3', 'SDG15_a', 'SDG3_8', 'SDG16_7', 'SDG16_10', 'SDG2_4', 'SDG11_6', 'SDG8_3', 'SDG12_4', 'SDG13_1', 'SDG11_1', 'SDG3_3', 'SDG15_general', 'SDG6_b', 'SDG13_2', 'SDG3_general', 'SDG13_general', 'SDG16_6', 'SDG12_5', 'SDG16_general', 'SDG3_6']"
